class,tweet
2, as a woman you shouldnt complain about cleaning up your house amp as a man you should always take the trash out
1, boy dats coldtyga dwn bad for cuffin dat hoe in the 1st place
1, dawg you ever fuck a bitch and she sta to cry you be confused as shit
1, she look like a tranny
1, the shit you hear about me might be true or it might be faker than the bitch who told it to ya 57361
1, the shit just blows meclaim you so faithful and down for somebody but still fucking with hoes 128514128514128514
1, i can not just sit up and hate on another bitch i got too much shit going on
1,8220 cause im tired of you big bitches coming for us skinny girls8221
1, amp you might not get ya bitch back amp thats that 
1, hobbies include fighting mariam bitch
1, keeks is a bitch she curves everyone lol i walked into a conversation like this smh
1,
1, so hoes that smoke are losers yea go on ig
1, bad bitches is the only thing that i like 
1, bitch get up off me 
1, bitch nigga miss me with it 
1, bitch plz whatever 
1, bitch who do you love 
1, bitches get cut off everyday b 
1, black bottle amp a bad bitch 
1, broke bitch cant tell me nothing 
1, cancel that bitch like nino 
1, cant you see these hoes wont change 
1, fuck no that bitch dont even suck dick 128514128514128514 the kermit videos bout to fuck ig up
1, got ya bitch tip toeing on my hardwood floors 128514 
1,
1, hoe what its hitting for 
1, i met that pussy on ocean dr i gave that pussy a pill 128524
1, i need a trippy bitch who fuck on hennessy 
1, i spend my money how i want bitch its my business 
1, i txt my old bitch my new bitch pussy wetter 
1, id say im back to the old me but my old bitches would get excited 128524
1, if you aint bout that murder game pussy nigga shut up 
1,
1, im done with bitter bitches its a wrap for that if you a angry bird theres a app for that 
1, is that ya bitch 
1, it aint nothing to cut a bitch off 
1, jus meet son now he ya mane ass bitches shots
1, lames crying over hoes thats tears of a clown 
1,
2, momma said no pussy cats inside my doghouse 
1, most hated but the hoes favorite 2mw sevenone 
1, nice girls bad make me get naughty bad yello hoe real nice body down south chick like em real thick 
1, pimps up pimps up hoes down future voice
1, post a picture of that pussy get 200 likes 
1, pussy is a powerful drug 128517 happyhumpday 
1, quick piece of pussy call it a drive by 
1, running round here like some brand new pussy thats bout to get fucked 
1, these bitches even worst theyll send them guys for you 
1, these hoes like niggas that spend money not talk bout it 
1, we dont trust these niggas all these bitches 
1, yall niggas b cuffing hoes cause yall aint never have bitches 
1, you dodge a bullet 128517 8220 all da bitches i cut off pregnant or bound to be thank god 1285918221
1, young pill chamberlain these bitches love my music 
1,128514128514128514128514128514128514128514128514128514128514128514 teanna trump probably cleaner than most of these twitter hoes but
1,128514128514128514128514128514128514128514128514128514128514 gay niggas couldnt wait to act like bitches tonight
1,128514128514128514 and ima steal his cat n replace it with a pitbull 128514128514128514128514 he a bitch you should do it
1,amp hes gone always be a hoe
1,son of a bitch took my tic tacs i like this movie
1,all i wanna do is get money and fuck model bitches russell simmons
1, i probably wouldn8217t mind school as much if we didn8217t have to deal with bitch ass teachers retweet
1, im a fucking fag they said
1, females think dating a pussy is cute now how does doing this stuff make him a pussy
2, simplyaddictedtoguys woof woof hot scally lad
1, have ya ever asked your bitch for other bitches kanye voice yes
1, how u gone bring ur side bitch to a game where you know ya gf friends at 128553128553128553128553 i swear
2, woof woof and hot soles
2, lemmie eat a oreo amp do these dishes one oreo lol
1,
1, fuck red malone man bitch ass niggah could you please use complete sentences
2, why the eggplant emoji doey he say she looked like scream lmao
1, hennessey venom gt 128584 thats one sexy bitch
1, him seh me pussy wetter then a shower cuainahmesehwetnessltlmao
1, eaglesnation and every eagles need to see that pic i just posted because that bitch just said the most racist shit
1, yo fuck skateboarding all yall some wood pushing faggots man ball is life 
2, baby monkey bathtime awwwwe this is soooo adorable
1,
1, u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussyno bs must b gt30chance
1, 0 rings 0 mvps 0 bitches lol
1, ppl talk bad about the ghettohood but as a kid growing up a nigga had funnnnnnn 
1, the facts on tattoostattoo hes a pussy with not tattooing them nipples
1, 128175128175128175 bitches be wanting to act like niggas so bad 128553128553128553 that shit aint cuteeeee but niggas act like bitches
1, get worshiping bitch woof woof
1, wow im lost are those buttcheek piercings yeah shes a hoe
1, ok sis shed rather be a broke bitch shrugs shell have to tell me how it works for her
0,
1, faggot read my tweets after dat k it wasnt even funny lol
1, this bitch was so ungrateful fr lulwhore
1,
0, alsarabsss hes a beaner smh you can tell hes a mexican
1,
1, when ur teacher tells u that u have homework this bitch need to go
1, that nigga was eating that hoe lol hell yea lol john paul nigga said john paul 
1, what would yall lil ugly bald headed bitches do if they stop making makeup amp weave
1, leafs better win this damn game so i can go riot and shit earlychristmas you better sta looting my nig
1, going back to school sucks more dick than the hoes who attend it
1, on my way to fuck yo bitch me as a 9 year old
1, how come you never bring me food i dont have a car retard
1, if richnow doesnt show up with hella tinder hoes im not his friend anymore chill i brought like like 8 prople
1, how bout them cowboys shutup pussy
1, lmaooooooooooo this nigga ltbitch want likes for some depressing shitfoh
1, girl you know i was spitting that g shit to you amp you was going lbvsbitch plz
1, let me make a couple tweets off cuzzo page so i wont get in twitter jaillmao bitch dont trick me again
1, harlem shake is just an excuse to go full retard for 30 seconds
1, amen miley 128591 but she dont need to act like a hoe just bc shes emotionally damaged foh
1, having one loyal female is wayyyyy better than having hoes idc 128175
1, pussy licking pussy meow meow stopwhitepeople2014 128049 128533
1, check out our 12th man cowboysnation even with all those faggot ny fans in the stands
1, what happen to them vixen ent bitches they got ran and threw to the side like a foothill bitch
1, im the bitch okay nudes pat 128554128527128056 wow
0, youre fucking gay blacklisted hoe holding out for tehgodclan anyway 
1, the fuck be wrong with these bitches nobody knows
1,
1, i hate a im pregnant type of bitch
1, got bitches in the dm but i dont ever readem which is y your top 3
2, baseball season for the win yankees this is where the love staed
1, little stupid as bitch i dont fuck with yoooooouuuu
1, she really asked me that dead ass serious tho all i could say was bitch wheet lol
2, im an early bird and im a night owl so im wise and have worms
2, overdosing on heavy drugs doesnt sound bad tonight i do that pussy shit every day
2, pit bulls photographed as lovely fairy tale creatures they are fairy tale creatures
1, aw fag dont tweet aw to me lol
2, as long as the lakers trash from now on i could careless and thats real cc hahaha
1, i didnt say anything tho kiss me then faggot
2, this the i play soccer cheat on girls and wear khaki coloured cargos haircut 128514 yup
1, i could go for a fat ass bitch on my lap same
1, 17 missed calls 128544128545das yo po bitch twitter finna be screamn freemoneymelle
1, ya side bitch gotta know its rules to this shitanybody ask you my cousin from jersey thinkin bout moving lmmfao 128514128514128514128514
1,
1, these hoes be thinking meat wont slap they ass 128564128075 ainna bruh
1, yall bitches wit no edges be doing the most talking 1285531285649995128514128514128514
1, yall still going trick or treating this year or nahhell yeah ima be da sweet tooth bandit steal bitches bags n shit
1, i wanna have sex with my mom fuck her right in that pussy where i came from damn you got hacked like fuck
1, if she kiss u with her eyes open watch that bitchlmfao
1, you a woulda coulda shoulda ass hoe 128563128586
1, happy bday bitch ass nigga preciate that bitch roll up
1, used to send that bitch up
1, ugly bitches be like im my own wcw duh bitch you aint nobody elses128514128514
1, nigga you know we hacky sack hoes nah i throw no look passes lmao
1, glad im getting outta atlanta nothing but a bunch of niggas in amp outta jail amp dumb bitches with mad kids fuckin em
2, this isnt ghettoits sma im doing this idc
1, i would wife a hoe only cuz we wouldnt care that we cheating in each other why force the relationship in the first place
1, being single isnt an excuse to be a hoe 
1, white boy power bitch black power bitch
1, lets get drunk get blowed spit shit spark blunts amp fuck hoes bro white dudes have no chill
1, bitch where u been around the world and back where you been
1, if i dont get my dick sucked at yo pay by a bad bitch im fr gone set it off 128514128514128514128514 by 
1, oomf is soooo cute but he probably has hoes on him a lot
1, in every caoon theirs alway a saving these hoes lmao lmao damn captain saveahoe
2, who wants to get there nose in these bad bois then scally chav sockfetish stinking hot sox and legs
1, i wish i was a bitch like my brother keezy 128530 ooooow i bet you do
1, if you dressed up as a cat for halloween you are basic or a pussy
1, can pornhub just get a gaming stream feature so these dumb bitches can gtfo get on it katielt3
1, stop being scared to choke her during sex u bitch ass niggas she8217ll like it says the guy who hits women out of bed foh
1, ha well iguess i make them hoes loyal bro theyll never be loyal that y they hoes my nig
1, oh man its 5 am you off a molly ho where the fuck ya seed at fixed
1, youre not a man if you refer to every girl as a bitch
1, lmfao this cat staed beating the shit out of me my nigga finally got some pussy my nigga
2, peel up peel up bring it back up rewind back where im from they move shaq from the line ooooow who tf said that trash
1,
1, naw its my old tape new cover my upcoming mixtape is kingofthehill yeah im waiting on that hoe mayne
1, ol diy foot ass bitches this was too funny to me
1, thats where i get my yellow flags for being amazing 128079128524 hell yeah niggy
1, dont got time for bitches to be actin iffy
2, ucfpinkpay come on stay alive knights nation this is still the early bird special comeatmeut
1, these hoes aint loyal no they aint smfh amp wonder why nobody decent wants them
1, bruh you studs keep thinking im soft as hell ask ya girl how many times she screamed she was my bitch oh okay stfu bye hoe
1, dry pussy bitches always blame it on the condom128514128079128514128079128514
1, shut yo bitch ass up 128557128514
1, gucci mane in jail and dropping mixtapes every month and you hoes cant even text back
1, you love these hoes more then money wats wrong these niggas
1, a loyal bitch from the burbs without daddy issues is like finding a holographic mewtwo sounding like me over there lol
1, easy cum easy hoe thats a fact 
1, charlie sheen is too real major fucking respect for charlie sheen
1, wish i had a bae 128533 you got all the hoes tho
1, fuck twerking bitch can you cook 
1,
1, 8220 shut up zoe fight me pussy8221 for zoe im good man you are good maam move along now
1, lmao fucking snake bitches em
1, big booty hoes everywhere sheesh 128525 damn 127807128064127807
2, stay tuned to for an update on the repo that 1b will be out 810 weeks bum
2, 8220 i play soccer cheat on girls and wear khaki coloured cargos haircut yes lmfao
1, oregon chokes every year get off the field trash ass program rft
1, def not cowboy lol terrell owens was the best eagle amp cowboy ever dude cried like a bitch on tv over romo
0, lmfaoooo i hate black people this is why theres black people and niggers
1, how could u do this to me bitch potent
2, a pissed lad past out i would lick his diy soles while he slept
2, love frat boy w soft long soles
2, sexy lad with hot soles and arches
1, nah fam i gotta cheat with the hoes depends on the female i feel
2, 128079128079128079128079128588 i got hicks lol
1, this new twitter is confusing the shit out of me go back to south america bitch
1, toto means ass or vaginai think pussy cause toto santi is like nasty pussy
1, but what if he actually does choose the ugly bitch over you 58381her ass must be fat
1, bitch couldnt kill my vibe if ya tried 127752127752127752 dis why i love miley 
1, im tired of bitches saying i look mean 128530 nigga you big af wear tight shis and grim everybody
2, 10 birds your grandkids may never see thanks to climate change climate
1, stay beautiful you bitch
1, wutkinda r purple ceeeleeeman this gurl was jus playin on the stupid hoe track but in still shitted on sum gurls
1, money getting taller and bitches getting blurry
1, i aint never seen a bitch so obsessed with they nigga128514 im obsessed with mine 128529
1, kobe stay talking trash but lets not forget i meant to do this one smh
0,
1, people always asking me what im mixed with she a bad asian bitch lol
0, ariza is a snake and a coward but at least he isnt a cripple like your hero roach lmaoo
2, 8220 fosters home for imaginary trash8221 whoa chill that show was everything tf
1, i am lowkey tired if you tired be quiet and go to sleep hoe
1, 8220 stop bringing weird niggers into my mentions 8221 
1, we dont love these hoes 128080128581
1, if yo girl cant have homeboys you a ol weak bitch ass nigga
1, i think worst advice i gave you was dont be a pussy and speed up lol
1, quote this tweet with your favorite animalpussy
1, i hate when strippers tell you theyre dancers hoe ballet dancers dont pop their pussy to beethoven you a stripper
1, andrewbryant poff has double vision after 2 beers poff double pussy 128526 smh
1, when bitches twerk on the computer me in ya 128089 in ya damn 128089825265039
1, 8220 8220 prince this is a nobody takin his bitch
2, 61 of welfaregovernment aid is claimed by white people so yall black slander is trash now
1, these bitches dont care they just play that role
1, it took a while for you to find me but i was hiding in the lime tree dis bitch in da wrong tree bro
0, drakes new shoes that will be released by nikejordan yes theres glitter on the shoes dudes a fag
2,
2, 8220 hoes austin8221 teach us austini teach u how to get curved thats all i know
1, bitches cant cook but know how to suck dick so to the ones that can do both
1, fat hoes get chose lol
1, hoesaintloyal well theyre hoesno one expects them to be loyal
1, ol bitch ass 
1, bruh im tired of niggas retweetin miley cyrus naked that bitch aint no types of bad lmaooo
1, just because tony romo at the mavs game dont mean he still not a bitch lmao fuk them cowgirls lol bitch fuck you
1, holy shit freddie highmore was in charlie and the chocolate factory me rolls on the floor laughing
1, i dont want to have sex with my gf because i feel like im using her anonymous whata faggot
1, one of your followers with this 128525128553 somebody bitch if you dont
1, if ya bitch always bitching clearly she care or just an annoying bitch
1, these catfish hoes thinkin they slick but niggas catching on 128524
1, cant worry about a bitch that aint worried bout me real
1, side hoes are for insecure niggas that cant handle a real one
1, 128514128514128514128514 lmao this bitch come scooting in the tent like she about to fuck some shit up 128557128557128557
1, my cousin said he share hoes with his brothers he said sharing is caring and he love his brothers 128514
1, im hungry but ionn wanna spend my money on food128530broke hoe problems 128514128514128514128128
1, dese hoes be lyin to all of us nigga
1, oh yeah fuck that bitch
2, eli manning just threw his nflleading 27th interception of the season lmao trash
2, usc senior rb anthony brown calls head coach steve sarkisian a racist and quits team 187 hes a bitch
1, guess what i also have zero time for your mansplaining adios stfu pussy
2, chilling 1280698482 sexy scally lad
1, i aint sharing no bitch if you mines you mines 128175
1, money only impress the simple broke bitches
1, pisces will never be anybodys bitch they dont let people control or change them rigghhht
2,
2,
1, these hoes is crazy
1, you aint ever gonna be a slice bitch kevin ha 
1, oomf so fuckin fine tho 128553 dam her dont be no bitch
1, i wonder if the girl that gave head to 24 boys for a drink in magaluf has twitter she probly sends nudes for fags
1, newsatquestions yeah bitch yeah bitch call me _______ a maybe b steveo c later d jesse pinkman 
1, hickies in between her thighs right by her pussy gtgtgt its only right
1, would you still love me when im no longer young and beautiful no ugly monkey ass
1, yall come through the frontbitch i aint coming
1,
1, yea im on my ipad i dont work this friday lets ball this faggot up i work 25
2, this scally lad would get it
0, gerryshalloweenpay halloween was yesterday stupid nigger
1, chrus still supahot tho walks up to teacher with test drops test in that bitch fohead 
1, 8220 i love eating pussy lol i never get full lol8221 i can eat that shit forever lol and ever
1, 8220 8220 no slushes 1285498221hoes nasty anyway fam1285648221them hoes taste like meds127815127815127868
1, 8220 no slushes 1285498221hoes nasty anyway fam128564
1, bobby bitchby be getting me live as fuck hell yea i play that hoe before my workout
1, yo bitch is gucci mane my bitch a stoner 128175128175 
1, i can ride your bitch with no handle bars
1, and if you aint a hoe get up out my traphoussseeeee
2, 15 sad tv character deaths were still bitter over stark was the man
1, these harbor bitches are all pay bus hoes lol all
1, pussy love it
1, ultraviolence video its coming you little bitch mtvhottest lana del rey bitchy promo
1, on my way to fuck your bitch lmfao kittycopter
2, a smuggler explains how he helped fighters along the jihadi highway 
1, aww their avis look so cute together 128145 128128128128128128 do i gotta get ike avi on this bitch 
1, its simple dont be a hoedont worry about being exposed 128540 fight mewhy 
1, whys this bitch boosting herself her size isnt exactly the most healthy tho
1, bet not be no bitches 128514128080128299128299128298 128514128514 kim bye
1, damn near gotta protect my tweets stalkers being annoying you got that dope dick drive these bitches loco
1, im making marack my girlfriend aye b you pullin hoes just like o taught you
1,
1, 8220 i must be a bitch8221 you are 128514128514128514 sike naw this why we always beefing 128514
2, down 61 yankees look to rally in the bottom of the 9th rallycap
