text,hate label,hashtags,source,user_created,user_friends,user_favourites,is_retweet
now should know that geffryemustfall and that if they do not take it down others will blacklivesmatter,0,['BlackLivesMatter'],Twitter Web App,23-02-2020 20:07,1297,33142,False
some officers advance close to the crowd attempting to take down the shield wall blacklivesmatter protest pdx por,0,"['ZimbabweanLivesMatter', 'BlackLivesMatter']",Twitter for iPhone,06-04-2018 05:37,668,134398,False
he is not in the wwe hof because of his skin color former wwe wrestler james kamala harris dies at 70,0,['BlackLivesMatter'],Twitter for iPhone,27-07-2017 01:37,32,13317,False
going through it now fighting for my life my rights and reached out but have not gotten a reply ple,0,"['MeToo', 'BLM']",Twitter for iPhone,27-09-2009 19:24,17076,10564,False
truth hurts blm,0,['BlackLivesMatter'],Twitter Web App,17-11-2019 01:30,357,2782,False
anti violence activists speak after 9 year old killed on near north side blacklivesmatter,0,['BlackLivesMatter'],Twitter for iPhone,10-01-2020 07:47,220,2099,False
please remember to keep checking sharing and signing petions and donating if possible there is still so many people we n,0,['BlackLivesMatter'],Twitter for iPhone,03-12-2017 18:56,188,507,False
internally i am still in springbreak 03 15 2020 by that date so far we were social distancing with stay at ho,0,['ChicagoRiots'],Twitter for Android,19-05-2010 10:25,555,490,False
breonna taylor s murderers are still free similar instances continue to happen everyday blacklivesmatter nojusticenopeace,0,['TwitterBestFandom'],Twitter for Android,25-11-2018 11:49,1938,162345,False
thank you for playing it is necessary viewing for all of us and adam goodes is an inspiration,0,['socialistteeth'],Twitter for Android,15-07-2020 19:46,15,180,False
so i finished this today i started the first episode in january some time and was so upset by the first ep i never,0,['BlackLivesMatter'],Twitter for Android,05-10-2012 14:35,3008,7565,False
the struggle continues heather heyer put her life on the line to stopfascism in charlottesville virginia on aug 12th,0,['BlackLivesMatter'],Twitter Web App,08-07-2009 03:37,61,2671,False
one of the things we can do as americans is educate ourselves on a daily basis especially more importantly in t,0,['BlackLivesMatter'],Twitter for iPhone,21-03-2017 16:30,5228,129779,False
a little bit of good news here in ct state senate passes police accountability bill ctpolitics blm,0,['BLM'],Twitter Web App,22-07-2011 12:52,3876,3556,False
at the age of 18 josh was given 8 years for stealing a bag of crisps and lighting a bin at the ferguson rebellion,0,"['Democrats', 'Antifa', 'BLM']",Twitter for iPhone,28-05-2011 15:28,1039,68,False
we are proud to post the black lens viewing britain from a darker perspective by paris grande the second of four,0,['BlackLivesMatter'],Twitter for iPhone,29-12-2015 06:19,58,16352,False
i posted this awhile ago but for any sports card collectors chicago chicagowhitesox blacklivesmatter,0,['BlackLivesMatter'],Twitter for iPhone,19-04-2013 03:31,284,5682,False
arrest both the blm leader and manhattan district attorney nydistrictattorney,0,['BlackLivesMatter'],Twitter for Android,11-11-2016 18:11,1084,7278,False
unbelievable american nurses association pac next time i receive a donation request to support i will remember this decisi,0,['BlackLivesMatter'],Twitter for iPhone,17-12-2016 00:36,60,1927,False
you must decide or be convinced that a human being s worth their value is written on their skin as policy and practice,0,['BlackLivesMatter'],Twitter for iPhone,03-11-2013 20:40,643,99802,False
people need help fr 나는_샘_오취리와_연대합니다 i_stand_with_sam_okyere blacklivesmatter,0,"['MeToo', 'BLM']",Twitter for Android,11-10-2013 19:21,158,332,False
too late dems starting to panic that voters will blame them for riots antifa is,0,['BlackLivesMatter'],Twitter for iPhone,14-10-2015 01:05,4934,51724,False
blm has been hijacked by marxists anarchists destroying streets cities ccp chinese communist party trait o,0,['BlackLivesMatter'],Twitter for Android,24-02-2019 12:45,1570,60007,False
chicago s miracle mile looted video shows blm rioters looting louis vuitton m talking about bag prices and trying,0,['BlackLivesMatter'],Twitter for iPhone,06-02-2013 02:37,2599,49776,False
blacklivesmatter just because the hastag is not trending anymore does not mean it does not matter,0,"['WhiteSox', 'BLM', 'Dubstep']",Twitter Web App,09-10-2017 15:43,557,7,False
s ustainable and just cities are or at least should be a matter of life and death,0,['BlackLivesMatter'],Twitter for iPad,31-03-2017 14:21,549,64835,False
blacklivesmatter protests demanding justiceforbreonnataylor in midtown manhattan nyc breonnataylor david dee,0,['BlackLivesMatter'],Twitter for iPhone,10-01-2020 07:47,220,2099,False
see this instagram video by north louisiana civil rights coalition on confederate monuments and mascots,0,['BlackLivesMatter'],Twitter for Android,05-08-2010 14:07,237,205420,False
looks like blm has completely un cloaked itself for its true agenda peep the word usage deaths of gay and trans p,0,['BlackLivesMatter'],Twitter for Android,24-02-2019 12:45,1570,60007,False
,0,['BlackLivesMatter'],Twitter for iPad,31-10-2015 02:06,278,20849,False
to those who donated money to blm and every other lying org you all just funded the alien invasion great,0,['BlackLivesMatter'],Twitter for iPhone,05-10-2013 21:40,689,318,False
be concerned we can change the trajectory of 2021 2022 2023 2024 let us get out and vote blacklivesmatter,0,['BLM'],Twitter for Android,06-08-2015 21:23,350,23987,False
hope is a muscle hope is sacrifice hope is continued work to gsu2020 attendees,0,['BlackLivesMatter'],Twitter for Android,21-06-2020 06:06,71,261,False
